user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0x46b2aa5b8a64adc2636d453539434bb7c881af06,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x199cd1ec35dafe836c619583d5ba105228809d1d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xcf3da4db7678e4f9eb5382dd39ff1eb21a2b3e69,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x7762bd20066b0ba051152d43c02134d53c87979d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x863061a8f82e7a261406d7a2b1f8605a875dafa7,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5de8e9792bb9b326a6b1ae8d75a7631e47dd17b7,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x30c4a62f198e2a3dc08a9f7eb2afd783165821d1,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xdaafbe495e5607a679305d5695ba3d21c11683c2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xbac127ffa08e3340ebedba908eb10ca7fda3a7eb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x391851858e94278293d05519696ce53b54cef73e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xbb0e77bdb6a077eeff8c5204395400a49115a9a3,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x13556cb1effa2516894ff3007cd3fc08efc30b1b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x506af682ba7760035c34895ad5ed3ccae313a3ab,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x6a4102c912d76c213e8185ba9c1c6da49c23fdd4,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd67ddda5ca83c56de74a131753d7f5ce63fb4ca2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x359ef3e47d9bea158c4c99062168bac4414ccf72,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x26a4db1593d1d9bbc1932a6932eab168fce69d14,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x84cd995994b3e4b5c609f8ada6508f740159cbc9,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x1798fbc6a3c46b171278ff97d7fc4c209cf28c3d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb4b60214edc10f0813ea1e54d9225c214c2ed174,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xda2d7c40cc6b4a1821e5237c3d2603fb49fd7224,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x4b43ac2007244b53ce0e7683d66d2a6d6e1c12c8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x41fe8e582137b9af967ffa4469067874a87c5ff5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x787c217fd2e4750f56611b02ea7222de19f1e6cc,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5a59546eb5b43159aba78bc7545780d6bc85a95c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb96f79ab68f928b44b7abb62ff89f54b5609a5f8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x61a16e3876ff81bc6eefe210408a711fbc3aea50,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x244724e8c4d814a88dcb71e11b3ef958cd2438d8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x9fa002df104142d4ab82d2bca6b93feeed1fbaa3,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x431e84afe1249c32306c546562fd2d220895e527,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xc54b186727366d808bfcd29a3ec4b827998fc7bb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8f7b51af5ee5a0d8c7487b3baa528436ff8a17bb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf20db2acc51a818df83e4ab4149d4226067307c9,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x2c1bde7ce0dfbc346c96b0437d991029bf9eca4d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf0a0b0f89fc47c81a2a9bc20708c7d1b15d98567,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xc98c6d42a3d0519b28ef3435e81f6b411f78d726,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x1900759ea52d52f5e09a54bdc440d86052c8144b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8db155fbfa79c736860eb18afc6256525fb2dcff,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x02836137a7dd87461f02d3eb39a74990f589f59c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xed95f6539e826bfea3725858b488d185469a3a66,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x92f44e9cb57f10f2a825c09c3bc8100565bd7031,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x502e46fcbdcf911f66cb8ef0dbcb889e06f27fe5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb512e5932273325b025915461d8f09a076987926,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x2b1604ee24f3df767d1af6aabcdeaf555f14c9bf,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x78aac5d0c4a1555fa789df1983ab8104b2043a40,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x34a733e608a45d431ab5d0cb343e1ece951553a2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x2920f8c2eeabc8f52cffd6c0d56b70e4cf6a2a78,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe3092ba977ec024d6d135e8b8f4c40866193f112,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x09d7c20776be8f057fb607a66013dca969ade12d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x56a8cb65cae9bd3467b9ce2b7e16ac778f6cf84e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x525a21320b67c2b23a63f5c984cbf3d139d7afb8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x6ca1ef713f9585709056184dec3feced08a9b0b5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa4bf7ad2b5babe3bc519b53489efd987405a6540,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xee606a28af7180a7abbeef3930059a725ae6d0b4,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8d5e25d4a65104fbc5a9af5e6baeb19c6a945876,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3b78e9fbef63f2ed8c1a7416cf2e4f7480a687d2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8b9ebc3dd8fc970632184536a1fe28d40c1cfb6b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xaaceedfde04057322f5f1103aa9332da39fa72b8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa49e82a39fdf2e6061b2438ea67b3e705096a8eb,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x7e6d4160a45679ea8781bec4d630aa7e0be484c2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x43038d10d3852c89dcc63c6643164788409b8230,100,0.167%,836.33,,,,,,,,,,,,,,,,
