owner_address,offchain_count,onchain_count,total_count,占比,LV aidrop,LV总量,空投总量0.01%,PUZZLE总量,,,,,,,,,
0xdbd91e16ec6fb4e7cdaff78a017277f382161d71,5,0,5,0.02%,15,,,,,,,,,,,,
0xcc6d3d5c761d31815f653e185d8328e9be7e631b,0,4,4,0.01%,12,,,,,,,,,,,,
0xf7f5688e58bf6d798afcde0934b4b9185b8cebc9,3,0,3,0.01%,9,,,,,,,,,,,,
0x1de57dfcc2a3adf13cf349f04ae5b99ddabb8e2c,0,3,3,0.01%,9,,,,,,,,,,,,
0x8f8984056a112973bcfaf4aa78a72ff28e06b4f4,2,0,2,0.01%,6,,,,,,,,,,,,
0x8d5d9a0d0c16ff2ee18b5efe8d8d570feda42ec0,0,2,2,0.01%,6,,,,,,,,,,,,
0x1b82aa6cee182f369e6cf9a72f7711ea26d29206,0,2,2,0.01%,6,,,,,,,,,,,,
0x2c0a9da1a97555107d7e5dd46870f9a53ae2d42d,0,2,2,0.01%,6,,,,,,,,,,,,
0x79dd42b7cf5014f31fd3874e4539fab01475d8c9,0,2,2,0.01%,6,,,,,,,,,,,,
0xb9f14c318fe97e71a3c97850b24a348866cea7d1,1,0,1,0.00%,3,,,,,,,,,,,,
0x802d5eb9932297775460ba2ba90d339938fff417,0,1,1,0.00%,3,,,,,,,,,,,,
0xe964e7c850a7d4c491fabb00d0585f1141495e6b,0,1,1,0.00%,3,,,,,,,,,,,,
0x0190ead689e617abb9c381680de8bd37f6fa24f9,0,1,1,0.00%,3,,,,,,,,,,,,
0x29e323eae3a4d830ea3f01c4816ef0b18ffa49f6,0,1,1,0.00%,3,,,,,,,,,,,,
0x5e6f695191e1e142ada050c6f984e89f236000ce,0,1,1,0.00%,3,,,,,,,,,,,,
0x0e7c3700b3ad9e741d787ec1df337a6c71d45b57,0,1,1,0.00%,3,,,,,,,,,,,,
0x1a55fc154fea2d9ead45e1d6fa4bf83074e5763d,0,1,1,0.00%,3,,,,,,,,,,,,
0x7f65554b956558719e61795878bbca2982f56b61,0,1,1,0.00%,3,,,,,,,,,,,,
0xacec2e4acfcc4a450861bff4c7153dd920a240e8,0,1,1,0.00%,3,,,,,,,,,,,,
0x718a0bd7b4262550cc1f4496004b977e3a596df0,0,1,1,0.00%,3,,,,,,,,,,,,
0x53c149a61ddc8d802bdaed85f100176fc805bd9d,0,1,1,0.00%,3,,,,,,,,,,,,
0xa4bb6472656e8d75a3590e4fdbe0d8c16c6d3369,0,1,1,0.00%,3,,,,,,,,,,,,
0x3dbb851d111f5336781ac505b3401a47f6a71d9b,0,1,1,0.00%,3,,,,,,,,,,,,
