address,allocation
0x32cb1c786977b6e12b0a46f1a7e83305eea5ec71,984
0x807036204902a7840c01f39959a40a45fc30d57a,989
0xc7841c7e889e8119c78110abec4df305a4f32434,997
0xef32bfd15daca83c7678f6c44f65d1ac23a4f68b,997
0x2bb47fa372ef3cecce379c7b37c93e4b448f55c9,1001
0x665b8ab1526ff81fa5a900779c101601666f0a7b,1003
0x0035549774030a5ad8eb0eb817ebf4278fd45eb8,1021
0x867534b457ae9b9718e040129946b03c1121af87,1036
0xd30e32250e6b509c8ca5a5a72dbfbc5860718329,1054
0xa1419cebc7f6c678d6be39054cc69522dec9e8c3,1058
0x35f72cfac6c76d40b47ad674d6c448cb539f6ec6,1065
0x3e2f18e12fa3de657ce80e603ebd120443d77523,1068
0x59f4ed37e57158fc95b127518aebcf64a00cd983,1076
0xa4bffdac7aece81386fd83e94cc51c589b1362e5,1081
0xe27141ca33967be5df82b5cd33d93adf6e04d31c,1084
0x4c8fb19593d31f9d80b124fcce565ddc88b832b0,1089
0xcef4af4c7b55c64bd53c85ac170abdb12a0694e6,1092
0x1804a857dc6ea1a67704f885dceb76a02f6de688,1100
0x02af4051ec4dab406804a586430084efd673cf11,1105
0x61d5b88551f12521aaa72b4e300f3534b1de9f34,1134
0x32cf8e7884b904e93961e046564bfd90dd7bc7e8,1134
0x325f7a96c0a3bae13b93e50c07ab48b7fb0a9a73,1139
0x089ffaece4c67d00366691b3cfeba7adba60a09d,1141
0x1a6f342e7a0cd2a0ffbf044d7bcfbd8e0306b8b8,1146
0xe2ee1f443f00b3580c3d82d496b53ffc0ea71bb0,1159
0xcd076ab2eb4dab81a1cf2b4d68887edf5525f570,1168
0xa2764e4ed4882ee52347bec1d9564066a32cc8e3,1169
0xda5a8a73a2014b378a94c962a3eae1302be90271,1174
0xf8f6c813e36ca1f17e21955a0c9e6a46423863e3,1193
0x5e12d0efd222efd5df144a89d888ac5878621f5b,1209
0x3f48d1db70d48dbfe3cb32f8aa431471bc661b66,1219
0x0bb0af9604e4c48da73fe6a08efdef5b13bc0fa0,1229
0x5ba0368f6d0cf136147eaf9a4d4b34ef9fc923be,1232
0xf62d2c9c2fec2b9896dc6af3580a57657c38240d,1233
0x6e4a8119ced811438e29b4c0522f8aa8c3309e1a,1255
0xbaec1570630c499c2bc44810ac466f89d7d0b081,1256
0xf14040cf3f0c7358103915e403951cb448422baf,1265
0x4f02a08f7c891311b34ee6c67154db8782743f4f,1274
