user_address,balance_wei,balance_readable
0xc3fba3fe6bdf1c2cf72a34c7f21ebcd67561b79b,12340000000000000000,12.34
0x6e292e8ef9b8df5b40197e50275cb18c5042c24f,4970000000000000000,4.97
0x407afe1e87bf741293d47e562b107a633e678562,831110000000000000000,831.11
0x179ddb3b9cdb02f29d54404cdbb96e768a357fa0,0,0.0
0xc8f6cc31b42b989f54b631e7333cd0fd5ccdd0bf,0,0.0
0x416ce639d53af3ced5e6006b3261311d3a506270,0,0.0
0xe05bfc65e8cad364f9b70c55b04450565e7a08e2,0,0.0
0x76770652bc4456f40730c3b4142d781d70a87ff8,0,0.0
0x64480f8ec096477ef7d079b2061f6cf5e0406884,760000000000000000,0.76
0xff1c896f0438d6cb5bb94413ed3a2c019c0ddc39,0,0.0
0x714b3cebcc5d5aebcc4ea193f1f2ef6cb1fa4e21,1370000000000000000,1.37
0xeae800c6c589881f774f8add539fd718f3e28743,248410000000000000000,248.41
0xe852c2cabf517470f58f544b589af948976b41fe,0,0.0
0x55ff029081be56bb68629ec8a83bef225f3ab4b5,148120000000000000000,148.12
0x6e079ae92ba1715debec0b8133e9b95911ec81b8,0,0.0
0x9e97bef0a1b29ae991846c3de9a1ad5b1a5d7c0d,2030000000000000000,2.03
0xe7c3bf0ff7939ca4b723d6297f5dc06051f4ec2c,6240000000000000000,6.24
0x62a5c221bc7db2db6a73e43ed22ea097d478e6c9,34950000000000000000,34.95
0x5912cadf8fa0f643a048d1763d4659f3f14c5842,3620000000000000000,3.62
0x04a7d374ab8c637d71c2611ad7f1573bad7cace8,1320000000000000000,1.32
0x2e43cd38599ec1efd35e7df1fb048ed47fe35c98,0,0.0
0x0c2c40f59d416d17879508fb977aabf05c7a51f6,2767490000000000000000,2767.49
0xa092538df8da26581109eda587ea129586d9d796,1500000000000000000,1.5
0x5bb1f71095f8a5e6fd09bd34bf1e3f721891cb73,131770000000000000000,131.77
0x48dc986cfb47b5a4eb09d06cec304149c5d1b81c,0,0.0
0xe51eaf4bf89e9c60045fe3b971a13ad9ec48eb5f,16860000000000000000,16.86
0x67928372e025316f5b21f8fea5029027eb7d7415,191900000000000000000,191.9
0x335a443b9110bd635780fdc74790b6eff19a1f9c,0,0.0
0x4be33b367cd205aeff78c2394b5b09d5405d2082,3800000000000000000,3.8
0xa5f8043c3af5398128aa95fe5e9aa359e1b6fcce,104600000000000000000,104.6
0x1bb974c8e27c612c63ae20df8107c34d7a4d17c8,602590000000000000000,602.59
0x8ca5e7a775b40a5b90a5f4ec11ab2d1e56d3b742,0,0.0
0xa7817f4c59b07e08c77b2474b8f14a657bc73d4e,0,0.0
0xe9c7039004017e187cf1e52a42cf48a1835cbd16,235470000000000000000,235.47
0x8180809b8d59fea7062fbb8316a6df17ffcae9cc,473030000000000000000,473.03
0x24e61a7781863d1cb6caa6265401e39a850b4552,2990000000000000000,2.99
0x873b20de41341ef0d25be7dc5f050bb78a676306,0,0.0
0xd30e32250e6b509c8ca5a5a72dbfbc5860718329,113620000000000000000,113.62
0x794d1b195d55457c3aad0248248a3cf8a1d08c84,284430000000000000000,284.43
0x1804a857dc6ea1a67704f885dceb76a02f6de688,285110000000000000000,285.11
0x373ef2a3795e111004919d6d95e9787b1acb35b3,7830000000000000000,7.83
0xd3d9c64efa7781f43c2a681245b35b242aedc0c4,0,0.0
0xbad29a92ca1bedcd6c17b3917bcd38d71fd25370,22140000000000000000,22.14
0x32cb32c66ed6ac092d12632a5bc6a78e8efde8e0,419470000000000000000,419.47
0xf6ec90961cb684a5e99e79ab36f80d672f284b8a,700000000000000000,0.7
0xde8d50d9479dcf391a862f26ba0ddabc69d4003b,0,0.0
0x0c9f2b49481a478684b2e9f0f158b750dbd4183f,211030000000000000000,211.03
0xad1dc2bed093dfbb8e9fc4a1d1ff7d7d19797112,191590000000000000000,191.59
0x8cbc8b3070d1bd53499b81562fbbcc0bb08bd83f,118350000000000000000,118.35
0xfcbd83a733d381776b76e1b9c8895d41016c2513,108290000000000000000,108.29
0x78e71715fdb1511d8c0e101e28d5e2ecee18f6c2,383040000000000000000,383.04
0x88368ffb8fa6a4f653002f86a34955b7b344eb58,0,0.0
0x6b46d77ce1e85aed2c50bf91aac72c7c3356f786,5930000000000000000,5.93
0x6dabdffe3b2cfdcf4f2a90d0ee5a2de476f61fc1,3276920000000000000000,3276.92
0x7c74fb19437564fa1e6de7761e8f9c0a927f1c18,0,0.0
0xc64ba33d634d33f7ccbc909550cf0719b7a6476f,0,0.0
0x62a8fa898f6f58a0c59f67b0c2684849de68bf12,1280000000000000000,1.28
0x78b05688beb478a03160cd757806d0893407bdc1,2480000000000000000,2.48
0x37483a852a0b8c2cd840b946fbf4fc8e3d6d6fb3,720000000000000000,0.72
0x5dddfaf5ad9a84068dbaf804eb44985cbc2deead,31370000000000000000,31.37
0x4096e0279347dcd6bb9a9dde3f114159434675ee,0,0.0
0xa14eb9db77a9261582d2ee1bc2679b4497e4390e,860000000000000000,0.86
0x1a3c68075c47b4b547caa725228250ce33909cb0,0,0.0
0x153e3ebdc4440c51c431bd8ebc681f064cab1db6,61600000000000000000,61.6
0x9a8a74f0b1dd90960ed9c22c9050bbe2d705e12a,3610000000000000000,3.61
0xd815b81d46eb128dd5e538bd23ef838869cddc57,27740000000000000000,27.74
0x6e1eff1a24d9486359120cca4fb719d12ace1959,239480000000000000000,239.48
0x8882808e8101dd6d8371ffb7c5a4156de04f2df5,0,0.0
0x407320b17ed489770a87f7631759b3b461bb1816,37970000000000000000,37.97
0x97d84361104152305ca89bd94bcb5a489aa23b87,380000000000000000,0.38
